Dataset,#TrainingRelease,%Training,%Defective in training,%Defective in testing,Classifier,Balancing,Feature Selection,Sensitivity,TP,FP,TN,FN,Precision,Recall,AUC,Kappa
BOOKKEEPER,358,0.0834499,293.0000000,293.0000000,random forest,no sampling,no selection,no cost sensitive,0.6222222,0.2179487,0.7820513,0.3777778,0.4970414,0.6222222,0.7444065,0.3735193
BOOKKEEPER,883,0.2058275,489.0000000,489.0000000,random forest,no sampling,no selection,no cost sensitive,0.0204082,0.0030395,0.9969605,0.9795918,0.8000000,0.0204082,0.5175470,0.0216289
BOOKKEEPER,1408,0.3282051,549.0000000,549.0000000,random forest,no sampling,no selection,no cost sensitive,0.7000000,0.2467532,0.7532468,0.3000000,0.2164948,0.7000000,0.7857008,0.2257317
BOOKKEEPER,2084,0.4857809,685.0000000,685.0000000,random forest,no sampling,no selection,no cost sensitive,0.2720588,0.0317460,0.9682540,0.7279412,0.6727273,0.2720588,0.7745811,0.3106283
BOOKKEEPER,2787,0.6496503,825.0000000,825.0000000,random forest,no sampling,no selection,no cost sensitive,0.5285714,0.0682196,0.9317804,0.4714286,0.6434783,0.5285714,0.8660031,0.4941980
BOOKKEEPER,3528,0.8223776,884.0000000,884.0000000,random forest,no sampling,no selection,no cost sensitive,0.4067797,0.1081081,0.8918919,0.5932203,0.2400000,0.4067797,0.7737541,0.2265586
BOOKKEEPER,358,0.0834499,293.0000000,293.0000000,naive bayes,no sampling,no selection,no cost sensitive,0.3111111,0.0435897,0.9564103,0.6888889,0.7118644,0.3111111,0.7567426,0.3278631
BOOKKEEPER,883,0.2058275,489.0000000,489.0000000,naive bayes,no sampling,no selection,no cost sensitive,0.0153061,0.0000000,1.0000000,0.9846939,1.0000000,0.0153061,0.6742370,0.0191096
BOOKKEEPER,1408,0.3282051,549.0000000,549.0000000,naive bayes,no sampling,no selection,no cost sensitive,0.0666667,0.0600649,0.9399351,0.9333333,0.0975610,0.0666667,0.6089962,0.0077025
BOOKKEEPER,2084,0.4857809,685.0000000,685.0000000,naive bayes,no sampling,no selection,no cost sensitive,0.0073529,0.0105820,0.9894180,0.9926471,0.1428571,0.0073529,0.6932773,-0.0050494
BOOKKEEPER,2787,0.6496503,825.0000000,825.0000000,naive bayes,no sampling,no selection,no cost sensitive,0.0428571,0.0066556,0.9933444,0.9571429,0.6000000,0.0428571,0.6733599,0.0562252
BOOKKEEPER,3528,0.8223776,884.0000000,884.0000000,naive bayes,no sampling,no selection,no cost sensitive,0.0508475,0.0071124,0.9928876,0.9491525,0.3750000,0.0508475,0.7481616,0.0724007
BOOKKEEPER,358,0.0834499,293.0000000,293.0000000,ibk,no sampling,no selection,no cost sensitive,0.5037037,0.2410256,0.7589744,0.4962963,0.4197531,0.5037037,0.6313390,0.2465570
