Dataset,#TrainingRelease,%Training,%Defective in training,%Defective in testing,Classifier,Balancing,Feature Selection,Sensitivity,TP,FP,TN,FN,Precision,Recall,AUC,Kappa
SYNCOPE,1153,0.0095277,5.0000000,5.0000000,random forest,no sampling,no selection,no cost sensitive,0.0000000,0.0000000,1.0000000,1.0000000,NaN,0.0000000,0.4978578,0.0000000
SYNCOPE,2323,0.0191960,8.0000000,8.0000000,random forest,no sampling,no selection,no cost sensitive,0.0000000,0.0000000,1.0000000,1.0000000,NaN,0.0000000,0.9961473,0.0000000
SYNCOPE,3494,0.0288725,12.0000000,12.0000000,random forest,no sampling,no selection,no cost sensitive,0.0000000,0.0000000,1.0000000,1.0000000,NaN,0.0000000,0.7312500,0.0000000
SYNCOPE,4818,0.0398132,21.0000000,21.0000000,random forest,no sampling,no selection,no cost sensitive,0.0000000,0.0000000,1.0000000,1.0000000,NaN,0.0000000,0.7907125,0.0000000
SYNCOPE,6399,0.0528777,131.0000000,131.0000000,random forest,no sampling,no selection,no cost sensitive,0.0000000,0.0000000,1.0000000,1.0000000,NaN,0.0000000,0.6575524,0.0000000
SYNCOPE,8134,0.0672148,257.0000000,257.0000000,random forest,no sampling,no selection,no cost sensitive,0.0079365,0.0012247,0.9987753,0.9920635,0.3333333,0.0079365,0.8025229,0.0122129
SYNCOPE,9893,0.0817502,422.0000000,422.0000000,random forest,no sampling,no selection,no cost sensitive,0.0606061,0.0085679,0.9914321,0.9393939,0.4166667,0.0606061,0.8316031,0.0844949
SYNCOPE,11692,0.0966161,497.0000000,497.0000000,random forest,no sampling,no selection,no cost sensitive,0.3200000,0.0301449,0.9698551,0.6800000,0.3157895,0.3200000,0.9101449,0.2880184
SYNCOPE,13492,0.1114903,573.0000000,573.0000000,random forest,no sampling,no selection,no cost sensitive,0.4078947,0.0138408,0.9861592,0.5921053,0.5636364,0.4078947,0.9198878,0.4540328
SYNCOPE,15302,0.1264471,659.0000000,659.0000000,random forest,no sampling,no selection,no cost sensitive,0.1627907,0.0462428,0.9537572,0.8372093,0.1489362,0.1627907,0.8017106,0.1116146
SYNCOPE,17118,0.1414535,754.0000000,754.0000000,random forest,no sampling,no selection,no cost sensitive,0.1263158,0.0138969,0.9861031,0.8736842,0.3333333,0.1263158,0.8012434,0.1591084
